Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Jack Stephens,Defender,17,0,,0,0,0,,,,,,0,,0,566,33.29,0,2,100%,2,35,3,0,9,0,17,76%,0,17,55,28,66,39,34,3,17,19,0,,,,,,,,,4,24,0,1,0
Raheem Sterling,Forward,28,6,0.21,0,6,0,0,0,42,18,43%,3,8,3,630,22.50,7,46,,,,4,0,21,11,18,,13,2,3,1,,,,,,,,,,,,,,,,,,,,
Finley Stevens,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Layton Stewart,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jakub Stolarczyk,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
John Stones,Defender,23,2,,1,0,1,,,,,,1,,2,"1,511",65.70,2,6,0%,1,64,2,0,10,1,23,57%,2,9,38,30,90,70,34,6,33,16,0,,,,,,,,,5,17,1,1,0
James Storer,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Thomas Strakosha,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Robert Street,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Pascal Struijk,Defender,29,2,,1,0,1,,,,,,0,,1,"1,072",36.97,2,21,24%,0,25,5,0,29,0,84,68%,6,32,64,33,139,165,117,9,60,43,1,,,,,,,,,4,52,0,0,1
Thanawat Suengchitthawon,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Kamaldeen Sulemana,Midfielder,18,2,0.11,0,2,0,0,0,24,7,29%,0,1,1,244,13.56,2,18,11%,1,10,1,0,9,2,15,60%,5,6,4,2,39,68,81,36,5,14,0,,,,,,,,,,,,,
Crysencio Summerville,Forward,28,4,0.14,0,3,1,0,0,29,9,31%,0,2,2,393,14.04,2,14,14%,1,7,4,0,22,8,30,67%,11,13,8,2,90,100,108,24,5,17,0,,,,,,,,,,,,,
Sam Surridge,Forward,20,1,0.05,0,1,0,0,0,9,2,22%,0,1,0,77,3.85,0,3,,,,2,0,12,2,5,,1,0,7,7,,,,,,,,,,,,,,,,,,,,
Will Swan,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Zak Swanson,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Sil Swinkels,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Japhet Tanganga,Defender,4,0,,0,0,0,,,,,,0,,0,91,22.75,0,1,100%,0,3,0,0,3,0,3,67%,0,2,6,5,8,13,11,1,6,3,0,,,,,,,,,0,5,0,0,0
Matt Targett,Defender,17,0,,0,0,0,,,,,,0,,0,328,19.29,1,34,21%,0,9,1,0,10,0,13,77%,1,9,13,8,46,29,38,2,11,7,0,,,,,,,,,1,6,0,0,1
James Tarkowski,Defender,38,1,,1,0,0,,,,,,2,,1,"1,620",42.63,6,0,0%,3,122,6,0,40,2,51,51%,9,51,196,119,173,203,111,9,120,49,0,,,,,,,,,9,57,0,1,2
Percy Tau,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Marcus Tavernier,Midfielder,23,5,0.22,0,1,4,0,0,37,15,41%,0,1,4,596,25.91,4,93,23%,5,19,1,0,21,4,33,67%,10,9,17,13,124,124,159,46,17,32,0,,,,,,,,,,,,,
Dale Taylor,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Slobodan Tedic,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Nathan Tella,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Kenny Tete,Defender,31,1,,1,0,0,,,,,,0,,5,"1,114",35.94,3,99,23%,1,47,8,0,42,0,83,55%,3,52,73,43,141,191,117,21,33,29,0,,,,,,,,,5,36,0,0,0
Thiago Silva,Defender,27,0,,0,0,0,,,,,,1,,2,"2,031",75.22,1,2,0%,1,116,2,0,10,0,41,66%,5,34,109,64,148,118,43,3,62,23,1,,,,,,,,,6,32,0,0,4
Luke Thomas,Defender,17,0,,0,0,0,,,,,,0,,0,527,31.00,2,9,33%,3,17,3,0,12,0,23,83%,1,27,28,13,69,47,55,6,11,14,0,,,,,,,,,2,20,1,0,0
Dominic Thompson,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Youri Tielemans,Midfielder,31,3,0.10,0,3,0,1,0,31,10,32%,3,1,2,"1,556",50.19,10,45,27%,12,66,4,0,33,1,66,59%,14,28,24,19,195,143,103,26,26,12,1,,,,,,,,,,,,,
Kieran Tierney,Defender,27,0,,0,0,0,,,,,,0,,1,402,14.89,0,24,13%,1,17,0,0,5,1,20,55%,1,11,20,9,43,38,30,3,6,18,0,,,,,,,,,1,10,0,0,0
Tobias Figueiredo,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Harry Toffolo,Defender,19,0,,0,0,0,,,,,,0,,0,291,15.32,0,29,21%,0,6,2,0,10,0,17,47%,1,10,30,12,54,38,38,3,13,14,0,,,,,,,,,1,17,0,1,0
Takehiro Tomiyasu,Defender,21,0,,0,0,0,,,,,,0,,1,412,19.62,1,12,33%,2,14,2,0,6,0,27,67%,2,14,14,7,42,48,37,1,17,20,1,,,,,,,,,1,11,0,0,0
James Tomkins,Defender,6,1,,1,0,0,,,,,,0,,0,171,28.50,0,0,0%,0,8,1,1,3,1,4,50%,1,5,19,7,21,12,12,1,6,6,0,,,,,,,,,0,8,0,0,0
Ivan Toney,Forward,33,20,0.61,2,15,3,6,2,94,42,45%,4,16,4,736,22.30,12,34,,,,9,0,52,27,23,,16,14,35,27,,,,,,,,,,,,,,,,,,,,
Lucas Torreira,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ferran Torres,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Cenk Tosun,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Toti Gomes,Defender,17,1,,1,0,0,,,,,,0,,0,497,29.24,0,9,44%,0,19,6,0,16,1,15,60%,0,11,44,22,61,46,45,9,17,16,0,,,,,,,,,4,14,0,0,2
Andros Townsend,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
